Word	Annotation	Sense	Part of Speech	Level	English	Russian
angeblich	angeblich		adj	B1	alleged	мнимый
günstig	günstig		adj	A1	cheap, favorable, good	выгодный
Dezember	der Dezember, -		der	B1	December	декабрь
Flughafen	der Flughafen, -̈		der	A1	airport	аэропорт
Krankenhaus	das Krankenhaus, -̈er		das	A2	hospital	больница
wenden, wendet, wandte, hat gewandt	wenden, wendet, wandte, hat gewandt		verb	B1	to turn around	разворачивать
türkisch	türkisch		adj, das	B1	Turkish; Turkish	турецкий
Gegner	der Gegner, -		der	B1	opponent, competitor, enemy	противник
Leser	der Leser, -		der	B1	reader	читатель
VWL	VWL (Volkswirtschaftslehre)		die	B1	economics	экономика
Handel	der Handel, -̈		der	B1	trade	торговля
Kenntnis	die Kenntnis, -se		die	B1	knowledge	знание
sichtbar	sichtbar		adj	B1	visible	видимый
zulassen, lässt zu, ließ zu, hat zugelassen	zulassen, lässt zu, ließ zu, hat zugelassen		verb	B1	to allow, admit	допускать
Mark	die Mark, -		die	B1	Deutschmark	марка
vorsehen, sieht vor, sah vor, hat vorgesehen	vorsehen, sieht vor, sah vor, hat vorgesehen		verb	B1	to look around, plan, provide for	выглядывать; предусматривать; планировать
Schwierigkeit	die Schwierigkeit, -en		die	B1	difficulty	трудность
wahrnehmen, nimmt wahr, nahm wahr, hat wahrgenommen	wahrnehmen, nimmt wahr, nahm wahr, hat wahrgenommen		verb	B1	to perceive, detect	воспринимать
hinweisen, weist hin, wies hin, hat hingewiesen	hinweisen, weist hin, wies hin, hat hingewiesen		verb	B1	to point to, refer to	указывать
Juli	der Juli, -s		der	B1	July	июль
Signal	das Signal, -e		das	B1	signal	сигнал
kontrollieren, kontrolliert, kontrollierte, hat kontrolliert	kontrollieren, kontrolliert, kontrollierte, hat kontrolliert		verb	A2	to check, control	проверять
sowieso	sowieso		adv	B1	anyway	всё равно
Bauer	der Bauer, -n		der	B1	farmer	фермер
Kurs	der Kurs, -e		der	A1	course, exchange rate	курс
einst	einst		adv	B1	once, at one time, one day	однажды
Service	der Service, -s		der	A2	service	обслуживание
sprachlich	sprachlich		adj	B1	linguistic	языковой
bisherig	bisherig		adj	B1	so far	прежний
Fahrer	der Fahrer, -		der	A1	driver	водитель
traditionell	traditionell		adj	B1	traditional	традиционный
weinen, weint, weinte, hat geweint	weinen, weint, weinte, hat geweint		verb	A2	to cry, weep	плакать
genießen, genießt, genoss, hat genossen	genießen, genießt, genoss, hat genossen		verb	B1	to enjoy, relish	наслаждаться
Dienst	der Dienst, -e		der	B1	service, duty	служба
Lager	das Lager, -		das	B1	camp, storeroom	склад
grau	grau		adj	B1	gray	серый
anhand	anhand		prep	B1	on the basis of, with the aid of	на основании
Bus	der Bus, -se		der	A1	bus	автобус
Franken, Fr.	Franken, Fr.		der	B1	(Swiss) franc	франк
Kategorie	die Kategorie, -n		die	B1	category	категория
nett	nett		adj	A2	nice	милый
freundlich	freundlich		adj	A2	kind, nice, friendly	дружелюбный
perfekt	perfekt		adj	B1	perfect	идеальный
reich	reich		adj	A2	rich, abundant	богатый
Fahrt	die Fahrt, -en		die	B1	drive, trip	поездка
Urlaub	der Urlaub, -e		der	A1	vacation	отпуск
ausländisch	ausländisch		adj	A1	foreign	иностранный
Instrument	das Instrument, -e		das	A2	instrument	инструмент
fern	fern		adj	B1	far, distant	далекий
Gegend	die Gegend, -en		die	B1	area, region	местность
verstecken, versteckt, versteckte, hat versteckt	verstecken, versteckt, versteckte, hat versteckt		verb	B1	to hide	прятать
Feuer	das Feuer, -		das	A1	fire	огонь
bemühen, bemüht, bemühte, hat bemüht	bemühen (sich), bemüht, bemühte, hat bemüht		verb	B1	to make an effort	стараться
Verständnis	das Verständnis, -se		das	B1	understanding	понимание
AfD	AfD (Alternative für Deutschland)		die	B1	AfD, Alternative für Deutschland	АдГ
Bakterie	die Bakterie, -n		die	B1	bacterium	бактерия
tauchen, taucht, tauchte, ist getaucht	tauchen, taucht, tauchte, ist getaucht		verb	B1	to dive, dip	нырять
Konsequenz	die Konsequenz, -en		die	B1	consequence	последствие
Schuld	die Schuld, -en		die, adj	B1	guilt; guilty	вина; виноватый
Mehrheit	die Mehrheit, -en		die	B1	majority	большинство
anhaben, hat an, hatte an, hat angehabt	anhaben, hat an, hatte an, hat angehabt		verb	B1	to wear, damage	носить
Bestimmung	die Bestimmung, -en		die	B1	regulation, purpose, fate	положение; назначение; судьба
vermeiden, vermeidet, vermied, hat vermieden	vermeiden, vermeidet, vermied, hat vermieden		verb	B1	to avoid	избегать
ehrlich	ehrlich		adj	B1	honest	честный
beachten, beachtet, beachtete, hat beachtet	beachten, beachtet, beachtete, hat beachtet		verb	B1	to pay attention, observe	соблюдать
statistisch	statistisch		adj	B1	statistical	статистический
Hals	der Hals, -̈e		der	A2	neck, throat	шея
durchsetzen, setzt durch, setzte durch, hat durchgesetzt	durchsetzen, setzt durch, setzte durch, hat durchgesetzt		verb	B1	to carry through, enforce, implement	осуществлять
italienisch	italienisch		adj, das	B1	Italian; Italian	итальянский
Scheiße	die Scheiße		die	B1	crap, shit	дерьмо
Telefon	das Telefon, -e		das	A1	telephone	телефон
Herbst	der Herbst, -e		der	B1	autumn	осень
Ausstellung	die Ausstellung, -en		die	A2	exhibition	выставка
Bau	der Bau, -ten		der	B1	construction, building	строительство
Keller	der Keller, -		der	A2	cellar	подвал
Bürgermeister	der Bürgermeister, -		der	B1	mayor	мэр
entlang	entlang		prep	B1	along	вдоль
Flasche	die Flasche, -n		die	A1	bottle	бутылка
wunderbar	wunderbar		adj	A1	wonderful	замечательный
Zweck	der Zweck, -e		der	B1	purpose	цель
ehren, ehrt, ehrte, hat geehrt	ehren, ehrt, ehrte, hat geehrt		verb	B1	to honor	чтить
Verwendung	die Verwendung, -en		die	B1	use	использование
letztlich	letztlich		adv	B1	in the end	в конце концов
Fläche	die Fläche, -n		die	B1	area, surface	площадь
streichen, streicht, strich, hat gestrichen	streichen, streicht, strich, hat gestrichen		verb	B1	to paint, cancel	красить; вычеркивать; отменять
zitieren, zitiert, zitierte, hat zitiert	zitieren, zitiert, zitierte, hat zitiert		verb	B1	to quote	цитировать
senken, senkt, senkte, hat gesenkt	senken, senkt, senkte, hat gesenkt		verb	B1	to sink, lower, decrease	снижать
behalten, behält, behielt, hat behalten	behalten, behält, behielt, hat behalten		verb	B1	to keep	сохранять
gestalten, gestaltet, gestaltete, hat gestaltet	gestalten, gestaltet, gestaltete, hat gestaltet		verb	B1	to shape, design	оформлять
beweisen, beweist, bewies, hat bewiesen	beweisen, beweist, bewies, hat bewiesen		verb	B1	to prove	доказывать
Umgang	der Umgang, -̈e		der	B1	dealings, contact	обращение
überprüfen, überprüft, überprüfte, hat überprüft	überprüfen, überprüft, überprüfte, hat überprüft		verb	B1	to check	проверять
Lehrstuhl	der Lehrstuhl, -̈e		der	B1	professorship, chair	кафедра
schenken, schenkt, schenkte, hat geschenkt	schenken, schenkt, schenkte, hat geschenkt		verb	A2	to give (as a present)	дарить
Vorschlag	der Vorschlag, -̈e		der	A2	suggestion, proposal	предложение
anhalten, hält an, hielt an, hat angehalten	anhalten, hält an, hielt an, hat angehalten		verb	B1	to stop, last	останавливаться
entfernt	entfernt		adj	B1	distant, away	удаленный
Leiter	der Leiter, -		der, die	B1	leader; ladder	руководитель; лестница
Parlament	das Parlament, -e		das	B1	parliament	парламент
stürzen, stürzt, stürzte, ist gestürzt	stürzen, stürzt, stürzte, ist gestürzt		verb	B1	to fall, stumble	падать
Waffe	die Waffe, -n		die	B1	weapon	оружие
Kriterium	das Kriterium, -en		das	B1	criterion	критерий
Beifall	der Beifall		der	B1	applause	аплодисменты
zerstören, zerstört, zerstörte, hat zerstört	zerstören, zerstört, zerstörte, hat zerstört		verb	B1	to destroy	разрушать
zuhören, hört zu, hörte zu, hat zugehört	zuhören, hört zu, hörte zu, hat zugehört		verb	A2	to listen	слушать
ausfallen, fällt aus, fiel aus, ist ausgefallen	ausfallen, fällt aus, fiel aus, ist ausgefallen		verb	B1	to drop out, be canceled	отменяться
Weile	die Weile		die	B1	while	время
drängen, drängt, drängte, hat gedrängt	drängen, drängt, drängte, hat gedrängt		verb	B1	to push, insist	настаивать
einerseits	einerseits		adv	B1	on the one hand	с одной стороны
Spannung	die Spannung, -en		die	B1	suspense, tension	напряжение
Fortschritt	der Fortschritt, -e		der	B1	progress	прогресс
Mathematik	die Mathematik		die	B1	mathematics	математика
Bad	das Bad, -̈er		das	A1	bath, bathroom, spa	ванная
erläutern, erläutert, erläuterte, hat erläutert	erläutern, erläutert, erläuterte, hat erläutert		verb	B1	to explain	разъяснять
packen, packt, packte, hat gepackt	packen, packt, packte, hat gepackt		verb	A2	to pack, grab	паковать
Großbritannien	Großbritannien		das	B1	Great Britain	Великобритания
vorsichtig	vorsichtig		adj	A2	cautious, careful	осторожный
anwenden, wendet an, wandte an, hat angewandt	anwenden, wendet an, wandte an, hat angewandt		verb	B1	to apply, employ	применять
wild	wild		adj	B1	wild	дикий
gesetzlich	gesetzlich		adj	B1	legal	законный
Spitze	die Spitze, -n		die	B1	point, top, peak	острие; вершина; верхушка
Gerät	das Gerät, -e		das	A2	tool, piece of equipment, appliance	устройство
Wille	der Wille, -n		der	B1	will	воля
sicherlich	sicherlich		adv	B1	certainly	безусловно
weisen, weist, wies, hat gewiesen	weisen, weist, wies, hat gewiesen		verb	B1	to point	указывать
Tradition	die Tradition, -en		die	B1	tradition	традиция
brennen, brennt, brannte, hat gebrannt	brennen, brennt, brannte, hat gebrannt		verb	B1	to burn	гореть
freiwillig	freiwillig		adj	A2	voluntary	добровольный
umso	umso		conj	B1	the (more . . . the)	тем
Antrag	der Antrag, -̈e		der	B1	application	заявление
Reich	das Reich, -e		das	A2	empire, kingdom	империя
investieren, investiert, investierte, hat investiert	investieren, investiert, investierte, hat investiert		verb	B1	to invest	инвестировать
bestellen, bestellt, bestellte, hat bestellt	bestellen, bestellt, bestellte, hat bestellt		verb	A1	to order, reserve	заказывать
Gelegenheit	die Gelegenheit, -en		die	B1	opportunity	возможность
Mauer	die Mauer, -n		die	B1	wall	стена
stattdessen	stattdessen		adv	B1	instead	вместо
Stuhl	der Stuhl, -̈e		der	A2	chair	стул
Ton	der Ton, -e		der	B1	sound, tone, clay	звук; глина; тон
Büro	das Büro, -s		das	A2	office	офис
Umwelt	die Umwelt, -en		die	B1	environment	окружающая среда
rauchen, raucht, rauchte, hat geraucht	rauchen, raucht, rauchte, hat geraucht		verb	A1	to smoke	курить
Beschreibung	die Beschreibung, -en		die	B1	description	описание
Pflanze	die Pflanze, -n		die	A2	plant	растение
Tätigkeit	die Tätigkeit, -en		die	B1	activity, work	деятельность
Landschaft	die Landschaft, -en		die	A2	landscape, countryside	пейзаж
verweisen, verweist, verwies, hat verwiesen	verweisen, verweist, verwies, hat verwiesen		verb	B1	to refer, expel	удалять
Arbeitsplatz	der Arbeitsplatz, -̈e		der	A1	workplace, job	рабочее место
erfassen, erfasst, erfasste, hat erfasst	erfassen, erfasst, erfasste, hat erfasst		verb	B1	to determine, grasp, acquire	учитывать
Komponente	die Komponente, -n		die	B1	component	компонент
Ion	das Ion, -en		das	B1	ion	ион
Laden	der Laden, -̈		der	A1	shop	магазин
fein	fein		adj	B1	fine	тонкий
Stern	der Stern, -e		der	B1	star	звезда
Schuh	der Schuh, -e		der	A1	shoe	ботинок
Knie	das Knie, -		das	B1	knee	колено
null	null		num	A1	zero	ноль
Schicht	die Schicht, -en		die	B1	layer, class	слой
unglaublich	unglaublich		adj	B1	incredible	невероятный
zurück	zurück		adv	A1	back	назад
Realität	die Realität, -en		die	B1	reality	реальность
sobald	sobald		conj	B1	as soon as	как только
belegen, belegt, belegte, hat belegt	belegen, belegt, belegte, hat belegt		verb	B1	to occupy, prove, verify, take	посещать
Fluss	der Fluss, -̈e		der	A2	river	река
Alternative	die Alternative, -n		die	B1	alternative	альтернатива
verpflichten, verpflichtet, verpflichtete, hat verpflichtet	verpflichten, verpflichtet, verpflichtete, hat verpflichtet		verb	B1	to obligate, oblige, commit	обязывать
begrüßen, begrüßt, begrüßte, hat begrüßt	begrüßen, begrüßt, begrüßte, hat begrüßt		verb	B1	to greet	приветствовать
Führung	die Führung, -en		die	A1	management, command, leadership	руководство
untere	untere (r, s)		adj	B1	lower	нижний
Handy	das Handy, -s		das	A1	mobile phone	мобильный телефон
Hauptstadt	die Hauptstadt, -̈e		die	A2	capital city	столица
Experiment	das Experiment, -e		das	B1	experiment	эксперимент
Frieden	der Frieden, -		der	B1	peace	мир
Verlauf	der Verlauf, -̈e		der	B1	course	течение
Potenzial	das Potenzial, -e		das	B1	potential	потенциал
Verlag	der Verlag, -e		der	B1	publishing company	издательство
Ministerpräsident	der Ministerpräsident, -en		der	B1	governor, minister president	премьер-министр
Vogel	der Vogel, -̈		der	A2	bird	птица
beschränken, beschränkt, beschränkte, hat beschränkt	beschränken, beschränkt, beschränkte, hat beschränkt		verb	B1	to restrict	ограничивать
Branche	die Branche, -n		die	B1	sector, line of business	отрасль
Schauspieler	der Schauspieler, -		der	B1	actor	актёр
